Type,temperature,relative_humidity,wind_speed,wind_u,wind_v,wind_dir,precipitation,rain_3d,rain_7d,rain_14d,ndmi_s2,ndvi_s2,lst_celsius,burned_binary,burned_count_3m,elevation,slope,aspect,fire_risk_lc,pop_density,dist_to_road,dist_to_settlement,night_light,season,Target
No-Fire,16.773998,57.585213,0.7324562,0.3511858,-0.008723259,355.54263,0.0075223134,0.70999855,0.77289736,1.6814113,0.062039495,0.6523943,23.43896,0.0,0.0,1048.163,2.3069973,279.3465,4.966001,18.436024,143.74985,35656.92,0.37400103,14.794525,0
No-Fire,16.773998,57.585213,0.7324562,0.3511858,-0.008723259,355.54263,0.0075223134,0.70999855,0.77289736,1.6814113,0.12921095,0.7105892,22.821186,0.0,0.0,1092.9523,2.3456025,276.38242,5.0,33.178993,148.33986,34719.375,0.3409738,14.794525,0
No-Fire,16.948006,57.81968,0.76407534,0.41256332,9.4890594e-05,355.26364,0.01115217,0.94460475,1.0231465,1.9904245,0.14053798,0.70433044,22.296858,0.0,0.0,1129.5658,2.6552966,261.89407,5.0,39.99943,152.51595,33781.82,0.31951544,14.794525,0
Fire,16.773998,57.585213,0.7324562,0.3511858,-0.008723259,355.54263,0.0075223134,0.70999855,0.77289736,1.6814113,0.06658769,0.6329094,22.575727,0.0,0.0,1062.526,4.0,351.0,3.6127377,14.789039,126.43935,38462.56,0.29414582,14.794525,1
Fire,16.773998,57.585213,0.7324562,0.3511858,-0.008723259,355.54263,0.0075223134,0.70999855,0.77289736,1.6814113,0.017900229,0.5687463,23.06505,0.0,0.0,1047.5442,3.348299,162.65851,3.619728,14.789039,132.35298,37532.01,0.30125064,14.794525,1
Fire,16.773998,57.585213,0.7324562,0.3511858,-0.008723259,355.54263,0.0075223134,0.70999855,0.77289736,1.6814113,0.0063085556,0.57150066,23.617973,0.0,0.0,1021.6392,1.6948006,204.26674,4.5715227,14.918581,138.9857,36594.44,0.3419863,14.794525,1
